Name,Industry,Description,Short Description,Tags,Business Model,Customer Model,Website,Raised,Year Raised,Stage,Investors,PDF URL
Vue Storefront,Software,"Vue Storefront, a Polish startup founded in 2020, has developed a plug-and-play frontend system for e-commerce sites using the headless commerce model. The company's system integrates with various backend service providers, allowing customers to tweak and change backend systems without affecting the customer-facing website.
Vue Storefront's enterprise offering builds on its open-source product and runs on its own cloud platform, which it claims increases security and performance and has additional integrations. The company counts Amazon aggregator Berlin Brand Group, Zenith Watches, and Zadig & Voltaire among its customers and is being used by 2,200+ shops, supported by 130+ partners.
The company recently raised $20 million in a funding round, bringing its total funding to $40 million. The round was led by Felix Capital and saw participation from existing investors Creandum, Earlybird, and SquareOne, as well as Mirakl CEO Philippe Corrot and engineering head Nagi Letaifa. Vue Storefront plans to increase its headcount from 100 to 135 by the end of the year.","Vue Storefront is a Frontend as a Service that delivers custom storefronts at the fraction of cost and time, and with lightning-fast page loads to achieve better conversion rates and higher revenue.","eCommerce, Web Development, SaaS, Software",SaaS,B2B,vuestorefront.io,$20M,2023,Series A,"VC — Felix Capital (Lead), Creandum, Earlybird, and SquareOne",./BestPitchPDFs/vuestorefront.pdf
Solo Funds,Fintech,"Based in Los Angeles, SoLo Funds is a fintech company that provides an alternative to payday lenders. The black-owned peer-to-peer lending platform connects borrowers in need of short-term loans with lenders willing to offer small sums of money, typically under $1000, for a limited time. SoLo Funds doesn’t take any commission and the only profit they make is through “administration donation” from the users.
Since the relaunch in 2020, the company has grown to nearly 100 employees, one million users, and has processed over 600,000 loans. According to a company statement, the value of loans exceeds $300 million.
The company has closed multiple funding rounds, the latest being a seven-figure investment from Serena Ventures. Investors like ACME Capital, Impact America Fund, Techstars, Endeavor Catalyst, CEAS Investments, West Ventures, Taavet Hinrikus of TransferWise, Jewel Burks Solomon of Google Startups, Zachary Bookman of OpenGov, Richelieu Dennis of Essence Ventures, and tech innovation accelerators participated in various funding rounds.",SoLo Funds is a financial service provider enabling a marketplace where members can request and fund emergency needs.,"Credit Card, Lending, Finance",Other,B2C,solofunds.com,$10M,2023,Series A,"VC — ACME Capital (Lead), Impact America (Lead)",./BestPitchPDFs/solofunds.pdf
BarnettX,Marketing,"JT Barnett, a former professional hockey player turned creator, has become a social media strategist and content agency for brands. He has found success in pitching himself to brands as a user-generated content (UGC) creator. UGC is a type of advertising where creators make content that brands can use on their own pages. Barnett uses UGC to get his foot in the door and create relationships with brands.
Barnett's company, BarnettX, has become a full-fledged consultancy firm that helps creators launch their own brands, and he also runs CreatorX, which helps place creator talent as in-house creatives for brands. Barnett uses a deck to pitch potential clients and highlight case studies. While many creators are looking to build their own business empires, Barnett has found success in acting as an agency for companies and offering services to them.",BarnettX is a social media & UGC consultancy firm that helps creators launch their own brands.,"Video, Shortform, Marketing, Social Media, UGC",Other,B2B,barnettx.com,--,2023,,,./BestPitchPDFs/barnettx.pdf
NOCD,Healthcare,"NOCD, a mental health startup that provides care for obsessive-compulsive disorder (OCD), raised $34 million in funding led by Cigna Ventures and 7wireVentures. Despite a challenging fundraising climate for digital health startups in early 2023, the startup was able to raise on favorable terms (at a higher valuation than before), thanks to exceeding its revenue & financial goals.
NOCD operates through an app, allows patients to sign up for virtual therapy and group sessions with providers who specialize in treating OCD. In addition, NOCD offers free self-help tools and feeds where people talk about their conditions. The startup got its start in 2018 by renting out a corner of an office shared by 7wireVentures and Livongo, a health startup that sold for $13.9 billion in 2020. With this new funding round, NOCD's total funding has reached $84 million.",NOCD is a mental health startup that provides care for obsessive-compulsive disorder (OCD).,"Health, Mental Health, Medicine, Medical, Therapy",Other,B2C,www.treatmyocd.com,$34M,2023,Series C,"VC — Cigna Ventures (Lead), 7wire Ventures (Lead)",./BestPitchPDFs/nocd.pdf
Our Future,Marketing,"Our Future, a short-form video media brand that covers business news for a Gen-Z audience, was acquired by popular business newsletter Morning Brew in January 2023. Our Future was started by Michael Sikand as a podcast in 2020 and then pivoted to focus on short-form video in 2021. It uses YouTube Shorts and TikTok as its primary platforms and now has over 450,000 subscribers on YouTube and about 470,000 on TikTok across two accounts.
Sikand and his cofounder Simran Sandhu also built a consulting agency that advised companies like HubSpot and StartEngine on social media strategy. The cofounders decided against raising funds for the company in early 2022 because they had """"found a way to monetize effectively through the agency division."""" The amount paid by Morning Brew to acquire Our Future was not disclosed.",Our Future is a short-form video media brand that covers business news for a Gen-Z audience,"Video, Shortform, Marketing, Social Media",Other,B2B,www.ourfuturehq.com,--,2023,Acquisition,Acquired by Morning Brew,./BestPitchPDFs/ourfuture.pdf
Macro,Software,"Macro, a start-up offering a desktop app that uses AI to edit documents and introduce interactive and hyperlinked text, raised $9.3m in a seed funding round led by Andreessen Horowitz in early 2023. Macro's technology is aimed at younger workers and ambitiously seeks to challenge Microsoft 365 as the go-to office suite.
The company's founder, Jacob Beckerman, spun up the company (then called CoParse) while a graduate student at the UPenn, focusing his thesis on natural language processing (NLP) applications in legal contracts. Macro's """"secret sauce"""" makes text interactive: when a user clicks on a key term defined somewhere in the document, a window pops up with the keyword's definition. The sidebar lets users search for terms and jump to sections, and tabs can be used for viewing different parts of the same document. Macro released its flagship desktop app in 2020 and signed up testers from investment banks, law firms, hedge funds, private equity funds, and endowments.",Macro is an a AI-powered document editor with interactive text.,"Software, SaaS, AI, Artificial Intelligence",SaaS,B2B,macro.com,$9.3M,2023,Seed,VC — Andreessen Horowitz (Lead),./BestPitchPDFs/macro.pdf
InfluxData,Software,"San Francisco-based InfluxData provides a complete Open Source Platform built specifically for metrics, events, and other time-based data.
The company has over 1,900 commercial customers worldwide including Cisco, DiDi, Adobe, Autodesk, Comcast, Dell, IBM, Tesla, and others. The company has also built a strong open-source community with 750,000 InfluxDB instances running. On GitHub, the company’s main platform InfluxDB has nearly 25,000 stars, and the vibrant user community includes thousands of users.
InfluxData raised a $51M Series E funding round, with participation from existing investors Battery Ventures, Mayfield Fund, Sapphire Ventures, and others as well as a $30 million debt facility with Silicon Valley Bank. The company has raised a total of $171 million in equity funding.","InfluxData is the creator of InfluxDB, the leading time series platform.","Big Data, Analytics, Data, SaaS, Software",SaaS,B2B,www.influxdata.com,$81M,2023,Series E,"VC + Debt — Princeville Capital, Citi Ventures, Battery Ventures, Mayfield Fund, Sapphire Ventures + Silicon Valley Bank",./BestPitchPDFs/influxdata.pdf
Supernormal,AI,"Based in Sweden, Supernormal is an AI-powered platform that automates meeting notes. The company was founded by former Meta and Klarna product manager Colin Treseler and ex-Github design lead Fabian Perez.
Starting in 2020, it took the company a year to collect 60,000 hours of meeting data, but since then, the company has experienced hypergrowth, with around 10,000 hours recorded each hour. Supernormal is being used by more than 50,000 professionals across 250 organizations. Its customers include Netflix, Salesforce, Github, Wayfair, and The Next Web.
The latest seed funding round of $10M was led by Balderton Capital, alongside EQT Ventures and Acequia Capital. So far, the company has raised $12M (approximately €10.9M) from investors such as Jehad Affoneh, Nir Eyal, and Mick Johnson.",Supernormal is an AI platform that writes your meeting notes.,"Artificial Intelligence, Machine Learning, AI, Software",Other,B2B,supernormal.com,$10M,2023,Seed,"VC — Balderton Capital (Lead), EQT Ventures, byFounders, Acequia Capital (AceCap)",./BestPitchPDFs/supernormal.pdf
,Crypto,"The founders of the now-defunct crypto hedge fund, Three Arrows Capital (3AC) and co-founders of CoinFLEX (which filed for restructuring last year) are teaming up to raise $25 million to establish a new crypto exchange called GTX.
The launch of this new exchange comes two months after the infamous collapse of leading crypto exchange FTX, which left over a million creditors without compensation. The name of the exchange, GTX, is even a play on FTX, with one pitch deck opening with the line “because G comes after F.”
Regardless of the surrounding controversy, the GTX pitch deck offers unique insight into how repeat founders can bounce back from a failed startup and raise funding from investors for new ventures.",GTX is a new crypto exchange & claims startup by the founders of 3AC and CoinFLEX.,"Cryptocurrency, Blockchain, Lending, Finance",Other,B2C,GTX,$25M,2023,Seed,,./BestPitchPDFs/.pdf
HelloBello,Food,"HelloBello is a pet-food startup that aims to deliver healthy dog food to your door. The company was founded by school friends Wolfgang Maurer and Stephan Freh in Vienna, Austria in 2019.
The company works on a subscription model. After calculating the animal's daily energy requirements and matching the recipes accordingly, HelloBello sends frozen food to customers every two or four weeks for the price of 7 to 15 euros per kg. The company has delivered more than 30,000 meals since its inception.
Last year, HelloBello raised €600,000 in a pre-seed round from investors including Hans Peter Haselsteiner and Hardlymountain Capital. The company raised a seed round of €1.7 million in November 2022. Johann 'Hansi' Hansmann, one of Austria's most well-known angel investors, participated in the funding round.",HelloBello offers freshly cooked human-grade food tailored to each dog’s nutritional needs via a subscription service.,"Food, CPG, Pets, Dogs",SaaS,B2C,,$1.8M,2022,Seed,"VC + Angels — Square One Foods, Michael Hurnaus, Johann ""Hansi"" Hansmann, Companion Fund",./BestPitchPDFs/hellobello.pdf
Ngrok,Software,"ngrok is a simplified API-first ingress-as-a-service that adds connectivity, security, and observability to apps with no code changes. ngrok was founded in 2015 by Alan Shreve, a veteran of building distributed systems at scale.
Initially, an open source community-funded hosted service, ngrok has now grown into a platform supporting millions of tunnels daily and has more than 30,000 paying customers including Zendesk, Copado, and Veritas.
The company announced Tuesday the closing of a $50 million Series A round led by Lightspeed, with participation from Coatue Management and others.",Ngrok is an API-first ingress-as-a-service platform that enables developers to build and deploy apps to web with just one line.,"Internet, Cloud, Security, Software, SaaS",SaaS,B2B,ngrok.com,$50M,2022,Series A,"VC — Lightspeed Ventures (Lead), Coatue Management",./BestPitchPDFs/ngrok.pdf
Pearpop,Software,"Pearpop is an American social media collaboration platform headquartered in Los Angeles. The platform's main feature is ""Challenges,"" which allows brands to instantly activate creator campaigns, on-demand.
The company was co-founded by Cole Mason and Guy Oseary in October 2020. Since then, the platform has attracted more than 200,000 creators and famous brands including Amazon, Netflix, Chipotle, Rakuten, Universal Pictures, Sonos, and Beyond Meat.
In Dec 2022, Pearpop announced its latest funding round of $18 million led by Ashton Kutcher's Sound Ventures, Guy Oseary's Sound Ventures, and Alexis Ohanian's Seven Seven Six, bringing its total valuation to $300 million.",Pearpop is a creator marketing startup and social media collaboration platform.,"Social Media, Creator Economy, Influencer, Marketing, Marketplace, Software",SaaS,B2B,pearpop.com,$18M,2022,Series A,"VC � Sound Ventures (Lead), Seven Seven Six, C2 Ventures, Blockchange Ventures, Blizzard Fund",./BestPitchPDFs/pearpop.pdf
FTX,Crypto,"FTX was arguably the market-leading cryptocurrency exchange before it's highly-publicized liquidity crisis and ensuing bankruptcy filing in late 2022.
FTX (once valued over $32 billion) collapsed in a matter of days in November 2022 after it was revealed that founder Bankman-Fried had secretly shifted $10 billion of FTX customer deposits to Alameda.
Despite their recent failures, one cannot overlook that FTX was incredibly successful in fundraising in a challenging environment:
They raised their first seed round in 2018 in the midst of the crypto-winter, and raised over $1.8 billion since.
FTX raised multiple rounds led by Sequoia, with participation from notable VC funds like Tiger Global, Softbank, Lightspeed Venture Partners, ICONIQ Growth, and more.
Here's an inside look at an FTX pitch deck from May 2021, presumably used to raise their $1B Series B round announced in June of the same year:",FTX was a cryptocurrency exchange that promotes the liquidity and transacting of coins and tokens.,"Cryptocurrency, Blockchain, Lending, Finance",Other,B2C,ftx.com,$1B,2021,Series B,"VC — Sequoia (Lead), Softbank Vision Fund, Tiger Global, Third Point Ventures, Thoma Bravo, VanEck, Willoughby Capital, Senator Investment Group, Lightspeed Venture Partners, IVP, ICONIQ Growth, Ribbit Capital",./BestPitchPDFs/ftx.pdf
Dandelion Energy,Sustainability,"Dandelion Energy claims to be the largest residential geothermal heat pump installation company in the United States. The company provides home geothermal systems to replace your home's existing air conditioning and heating equipment by capturing and transferring energy found in the soil.
Dandelion Energy began in 2015 as a project of Google's research arm, Google X (now just X). The startup was spun out in 2017, and has raised a ~$136 million since then from investors including LenX, the venture division of the homebuilding company Lennar. 
This 15-slide pitch deck was used to secure a $70 million Series B round led by LenX and NGP ETP and included other investors, like NEA and Breakthrough Energy Ventures, according to the company. Here's an inside look at Dandelion Energy's pitch deck:",Dandelion is a home geothermal company offering affordable geothermal systems for green homes.,"Sustainability, Green Energy, HVAC, Home, Hardware, Energy",Hardware,B2C,dandelionenergy.com,$70M,2022,Series B,VC,./BestPitchPDFs/dandelionenergy.pdf
Legion M,Other,"Legion M is a production startup that raises funds from the general public in exchange for equity and the ability to vote on which projects the company acquires and develops.
The company was founded in 2016 by Paul Scanlan and Jeff Annison and has grown to become one of the most successful equity crowdfunding companies in history, with nearly 30,000 investors and a global community of over 125,000 fans.
Among the company's credits are projects like 2016's """"Colossal"""" starring Anne Hathaway and Jason Sudeikis; the 2018 film """"Mandy"""" starring Nicolas Cage; and the 2019 comedy """"Jay and Silent Bob Reboot,"""" directed by prolific horror movie director Kevin Smith, and many more.
Here’s the 15 slides pitch deck that breaks down the company’s funding model, projects, and revenue streams.","Legion M is a fan-owned entertainment company producing a slate of movies, TV, and digital content.","Media, Streaming, Film, Movies, Entertainment, Advertising, Television",Other,B2C,legionm.com,$11M,2022,Crowdfunding,Crowdfunding via WeFunder,./BestPitchPDFs/legionm.pdf
TVision,Software,"TVision measures how people really watch Linear & CTV using cutting-edge computer-vision technology to gather person-level insights on viewer engagement. Their platform gathers second-by-second data from a nationally representative panel of households who have signed on to help advertisers understand how, what, and when they watch TV.
TVision has a panel of about 5,000 homes that covers 14,000 people who have opted in to have their TV watching tracked in their house.
Yan Liu founded TVision in 2014 with the goal of transforming the way in which brands, their agencies, and TV media sellers determine the true value of TV content.
TVision used this deck to raise $16 million in funding, led by iSpot, joined by existing investors SIG Capital, Accomplice, and Golden Ventures. iSpot is a TVision client that also offers advertisers new ways to measure TV ads; iSpot CEO and founder Sean Muller will join TVision's board as part fo this round.",TVision provides a proprietary person-level panel data for television audience viewership.,"SaaS, Media, Advertising, Television",SaaS,B2B,tvisioninsights.com,$16M,2022,Series C,"VC — iSpot (Lead), SIG Capital, Accomplice, Golden Ventures",./BestPitchPDFs/tvision.pdf
Alation,Software,"Alation is credited with pioneering the data catalog product category with its signature software, the Alation Data Catalog, which helps enterprises in organizing and consolidating their data.
Alation was founded in 2012 by co-founders, Satyen Sangani and Aaron Kalb, and launched its first product in 2015 to give data consumers an easy way to search for enterprise data with natural language. The company recently reported it passed the $100M annual recurring revenue (ARR) mark.
Alation used this pitch deck to raise a $123 million Series E round at $1.7B valuation led by Thoma Bravo, joined by strategic investor Databricks, as well as Sanabil Investments, and Costanoa Ventures. Salesforce Ventures, Dell, and Sapphire Ventures were earlier investors in the company.",Alation provides companies with data governance solutions to help companies wrangle and codify their data.,"Enterprise, Big Data, Software, Analytics",SaaS,B2B,alation.com,$123M,2022,Series E,"VC — Thoma Bravo (Lead), Databricks, Sanabil Investments, Costanoa Ventures",./BestPitchPDFs/alation.pdf
Canary Technologies,Software,"Canary Technologies is seeking to disrupt the way hotels manage guests digitally. The Y-Combinator backed company provides hotels and other lodging properties with technology solutions to increase productivity and manage bookings.
Canary was founded in 2017 by childhood friends Harman Singh Narula and SJ Sawhney, as a mobile-based platform to handle hotel operations such as check-in, post-booking communication and check-out.
Today, their hospitality management platform is used by global brands such as Radisson Hotels, Best Western, and Four Seasons. It claims to help improve the guest experience while also boosting revenue though upselling.
Canary Technologies used this pitch deck to raise a $30 million in a Series B round led by Shopify-backer Insight Partners, with investors including F-Prime Capital, Y Combinator, Thayer Ventures, Commerce Ventures and others participating.",Canary Technologies provides hotels and hospitality businesses with technology solutions to increase productivity and manage bookings.,"Hospitality, Hotel, Software, SaaS, Payment, Bookings",SaaS,B2B,canarytechnologies.com,$30M,2022,Series B,"VC — Insight Partners (Lead), F-Prime Capital, Y Combinator, Thayer Ventures, Commerce Ventures",./BestPitchPDFs/canarytechnologies.pdf
Kyra,Software,"Kyra offers creators a self-serve platform to find new deals where they will be paid on a performance basis. Kyra's offerings includes Kyra Originals, a network of TikTok channels producing original content; Kyra Profile, a Gen Z creator incubator program; and Kyra Studios, a production studio that creates social content on behalf of brands.
Kyra, founded in 2017, has worked with brands like Nike, Converse, Calvin Klein, and Amazon Prime Video; reportedly working with roughly 5,000 creators across branded campaigns over the past year.
This pitch deck helped Kyra secure a $15 million Series A round led by Bonnier Ventures with participation from LionTree, Firstminute Capital, Guardian Media Group Ventures, and Torch Capital, among others. The funding will be used to launch Kyra Platform, an influencer-marketing service to connect brands and creators focused on TikTok partnerships.",Kyra offers creators a self-serve platform to find new deals where they will be paid on a performance basis.,"Creators, Influencers, Marketing, Branding",Marketplace,B2B,kyra.com,$15M,2022,Series A,"VC — Bonnier Ventures (Lead), LionTree, Firstminute Capital, Guardian Media Group Ventures, Torch Capital",./BestPitchPDFs/kyra.pdf
Humming Homes,Other,"Humming Homes, launched in October 2020, aims to create personalized, seasonal maintenance programs for homeowners for as little as $250 a month.
Humming Homes was founded in 2020 by Adeel Mallick, Kyle Carnes, and serial Entrepreneur, Kevin Ryan (Founder & CEO of AlleyCorp). As of May 2022, their services are live in 2 regions (Tri-state, South Florida) across 5 markets, and scaling towards national expansion with this new funding.
The home-maintenance startup secured $7.9 million in seed funding with this pitch deck. In August, Humming Homes closed on $2.3 million in seed funding from investors led by Harlem Capital, an extension of an earlier $5.6 million round from Greycroft, Thrive Capital, and other investors.",Humming Homes is a technology-enabled home management service with a mission to make homeownership easier and more enjoyable.,"Home, Services, Subscription",Other,B2C,humminghomes.com,$7.9M,2022,Seed,"VC — Harlem Capital (Lead), Thrive Capital, Greycroft",./BestPitchPDFs/humminghomes.pdf
,Venture Capital,"Headquartered in Luxembourg, climate tech VC firm Satgana was founded upon the vision to invest in startups and entrepreneurs that are providing impactful tech solutions to the climate emergency. Satgana translates to ‘a good company’ in Sanskrit. Founded in 2020, the fund will invest up to €500k to 40 pre-seed and seed stages in startups across Europe and Africa. Satgana is back by 30+ LPs including Thibaud Hug de Larauze (Co-Founder & CEO of impact unicorn Back Market), Josef Bovet (CEO of Tiller Systems, acquired by SumUp), Fabrice de Gaudemar (CEO of Qotto and ex-Executive Board of Eurazeo), Elsa Hermal (Co-Founder of Epicery) and the Family Office Cullom Capital. Satgana announced it closed the first tranche of its 30 million euros (around $29 million) climate tech fund using this 16-slide pitch deck. Prior to the announcement, Satgana alrady made three investments in 'planet positive' startups including Orbio Earth, Mazi Mobility, and Yeasty.",Climate tech VC firm Satgana launched a €30 million fund to support the impact entrepreneurs & 'planet positive' startups.,"Climate Tech, Sustainability, Tech, Software, Food, Agriculture, Energy, Mobility, Industry, Construction, Carbon Removal, Circular Economy",VC,www.satgana.com,Satgana,€30M,2022,Fund 1,"Thibaud Hug de Larauze, Josef Bovet, Fabrice de Gaudemar, Elsa Hermal, Family Office Cullom Capital.",./BestPitchPDFs/.pdf
FOLX Health,Healthcare,"FOLX Health, a telehealth service, is dedicated to making medical care accessible to LGBTQIA+ community members. Based in Boston, MA, the company was founded by Liana Douillet Guzmán in December 2020.
In less than 3 years, FOLX has grown to more than 10,000 active users and its enterprise solutions are being used by Grindr, planful, and the Ali Forney Center. FOLX announced a $4.4 million seed in late 2020, followed by a $25 million Series A in February 2021. The company has now announced a $30 million series B round.",FOLX Health is the first digital healthcare service provider designed by and for the medical needs of the LGBTQIA+ community.,"Healthcare, Therapy, Medical, LGBTQ, Telehealth, Telemedicine",Other,B2C,folxhealth.com,$30M,2022,Series B,"VC — 7wireVenture (Lead), Foresite Capital, Bessemer Venture Partners, Define Ventures, Polaris Partners",./BestPitchPDFs/folxhealth.pdf
Supliful,Other,"On-demand supplement fulfilling and dropshipping solution Supliful allows anyone to launch their own custom-designed supplement product line.
The company's platform lets nutrition experts, fitness coaches, biohackers and solopreneurs create their own online supplement brand without upfront investments. Supliful was founded in 2020 by Mārtiņš Lasmanis, Rihards Piks, and Rudolfs Janitis.
Supliful claims it raised $1.1M in pre-seed funding with this 22-slide deck.","Supliful enables the likes of physical trainers, fitness influencers, nutritionists, & dieticians to start vitamin and supplement dropshipping business in minutes.","Supplements, Dropshipping, eCommerce",Other,B2B,supliful.com,$1.1M,2022,Pre-Seed,"VC — Diaspora Ventures, ZAKA VC, Vahur Meus, Toby Moore, Startup Wise Guys, Martin Koppel, Jevgeni Kabanov",./BestPitchPDFs/supliful.pdf
